Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,13,maps/8planets/map1.txt,1
java AdaptiveBot,23,maps/8planets/map3.txt,0
java AdaptiveBot,9,maps/8planets/map2.txt,1
java BeamBot,10,maps/8planets/map3.txt,1
java BeamBot,13,maps/8planets/map2.txt,1
java BeamBot,9,maps/8planets/map1.txt,1
java BeamBot,9,maps/8planets/map1.txt,1
java BeamBot,34,maps/8planets/map2.txt,0
java BullyBot,15,maps/8planets/map3.txt,1
java BullyBot,8,maps/8planets/map1.txt,1
java BullyBot,9,maps/8planets/map2.txt,1
java BullyBot,14,maps/8planets/map3.txt,1
java GreedyBot,9,maps/8planets/map1.txt,1
java GreedyBot,10,maps/8planets/map3.txt,1
java GreedyBot,8,maps/8planets/map1.txt,1
java GreedyBot,10,maps/8planets/map3.txt,1
java GreedyBot,10,maps/8planets/map2.txt,1
java LookaheadBot,6,maps/8planets/map2.txt,2
java LookaheadBot,5,maps/8planets/map3.txt,2
java LookaheadBot,10,maps/8planets/map2.txt,1
java LookaheadBot,13,maps/8planets/map3.txt,1
java LookaheadBot,7,maps/8planets/map1.txt,2
java LookaheadBot,6,maps/8planets/map1.txt,2
java MMBot,13,maps/8planets/map1.txt,1
java MMBot,9,maps/8planets/map3.txt,2
java MMBot,5,maps/8planets/map3.txt,3
java MMBot,10,maps/8planets/map2.txt,1
java MMBot,8,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,6,maps/8planets/map1.txt,2
java SimpleAdaptiveBot,8,maps/8planets/map1.txt,1
java SimpleAdaptiveBot,7,maps/8planets/map3.txt,2
java SimpleAdaptiveBot,5,maps/8planets/map3.txt,3
java SimpleAdaptiveBot,10,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,10,maps/8planets/map2.txt,1
java SuperBullyBot,8,maps/8planets/map1.txt,1
java SuperBullyBot,8,maps/8planets/map3.txt,1
java SuperBullyBot,10,maps/8planets/map2.txt,1
java SuperBullyBot,10,maps/8planets/map2.txt,1
java SuperBullyBot,8,maps/8planets/map1.txt,1
java SuperBullyBot,7,maps/8planets/map3.txt,1
