Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,13,maps/8planets/map1.txt,1
java AdaptiveBot,23,maps/8planets/map3.txt,1
java AdaptiveBot,9,maps/8planets/map2.txt,1
java BullyBot,9,maps/8planets/map2.txt,1
java BullyBot,13,maps/8planets/map1.txt,1
java GreedyBot,18,maps/8planets/map2.txt,0
java MMBot,19,maps/8planets/map1.txt,1
java RandomBot,14,maps/8planets/map2.txt,1
java RandomBot,19,maps/8planets/map3.txt,0
java RandomBot,11,maps/8planets/map3.txt,1
java RandomBot,12,maps/8planets/map1.txt,1
java RandomBot,6,maps/8planets/map1.txt,2
java RandomBot,15,maps/8planets/map2.txt,1
