Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,70,maps/8planets/map3.txt,4
java BeamBot,68,maps/8planets/map2.txt,11
java BeamBot,68,maps/8planets/map2.txt,10
java BeamBot,68,maps/8planets/map1.txt,11
java BeamBot,68,maps/8planets/map1.txt,11
java BeamBot,68,maps/8planets/map3.txt,10
java BeamBot,68,maps/8planets/map3.txt,11
java BullyBot,71,maps/8planets/map3.txt,3
java GreedyBot,70,maps/8planets/map2.txt,10
java GreedyBot,69,maps/8planets/map2.txt,11
java GreedyBot,70,maps/8planets/map1.txt,9
java GreedyBot,70,maps/8planets/map1.txt,10
java GreedyBot,69,maps/8planets/map3.txt,12
java GreedyBot,70,maps/8planets/map3.txt,11
java LookaheadBot,70,maps/8planets/map3.txt,7
java LookaheadBot,70,maps/8planets/map3.txt,7
java MMBot,69,maps/8planets/map3.txt,10
java MMBot,68,maps/8planets/map2.txt,9
java MMBot,69,maps/8planets/map2.txt,10
java MMBot,69,maps/8planets/map1.txt,9
java MMBot,68,maps/8planets/map1.txt,10
java MMBot,68,maps/8planets/map3.txt,9
java SimpleAdaptiveBot,70,maps/8planets/map2.txt,8
java SimpleAdaptiveBot,70,maps/8planets/map3.txt,9
java SimpleAdaptiveBot,70,maps/8planets/map2.txt,9
java SimpleAdaptiveBot,70,maps/8planets/map3.txt,9
java SuperBullyBot,70,maps/8planets/map3.txt,10
java SuperBullyBot,70,maps/8planets/map2.txt,9
java SuperBullyBot,70,maps/8planets/map3.txt,10
java SuperBullyBot,70,maps/8planets/map2.txt,8
java SuperBullyBot,70,maps/8planets/map1.txt,9
java SuperBullyBot,70,maps/8planets/map1.txt,9
