Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,10,maps/8planets/map3.txt,13
java AdaptiveBot,13,maps/8planets/map2.txt,11
java AdaptiveBot,9,maps/8planets/map1.txt,11
java AdaptiveBot,9,maps/8planets/map1.txt,12
java AdaptiveBot,34,maps/8planets/map2.txt,5
java BullyBot,13,maps/8planets/map1.txt,9
java BullyBot,13,maps/8planets/map2.txt,12
java BullyBot,10,maps/8planets/map3.txt,20
java BullyBot,34,maps/8planets/map2.txt,5
java BullyBot,13,maps/8planets/map1.txt,9
java LookaheadBot,11,maps/8planets/map2.txt,12
java LookaheadBot,11,maps/8planets/map2.txt,11
java RandomBot,20,maps/8planets/map2.txt,10
java RandomBot,9,maps/8planets/map1.txt,20
java RandomBot,5,maps/8planets/map3.txt,32
java RandomBot,15,maps/8planets/map3.txt,15
java RandomBot,5,maps/8planets/map2.txt,22
java RandomBot,10,maps/8planets/map1.txt,11
