Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,15,maps/8planets/map3.txt,0
java AdaptiveBot,8,maps/8planets/map1.txt,0
java AdaptiveBot,9,maps/8planets/map2.txt,0
java AdaptiveBot,14,maps/8planets/map3.txt,0
java BullyBot,9,maps/8planets/map3.txt,0
java BullyBot,9,maps/8planets/map2.txt,0
java BullyBot,10,maps/8planets/map1.txt,0
java GreedyBot,18,maps/8planets/map2.txt,0
java MMBot,19,maps/8planets/map1.txt,0
java RandomBot,9,maps/8planets/map1.txt,0
java RandomBot,12,maps/8planets/map3.txt,0
java RandomBot,15,maps/8planets/map3.txt,0
java RandomBot,10,maps/8planets/map2.txt,0
java RandomBot,9,maps/8planets/map2.txt,0
java RandomBot,8,maps/8planets/map1.txt,0
