Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,9,maps/8planets/map1.txt,1
java AdaptiveBot,10,maps/8planets/map3.txt,2
java AdaptiveBot,8,maps/8planets/map1.txt,2
java AdaptiveBot,10,maps/8planets/map3.txt,1
java AdaptiveBot,10,maps/8planets/map2.txt,1
java BullyBot,9,maps/8planets/map3.txt,2
java BullyBot,10,maps/8planets/map2.txt,1
java BullyBot,8,maps/8planets/map1.txt,2
java BullyBot,9,maps/8planets/map1.txt,1
java BullyBot,9,maps/8planets/map3.txt,1
java LookaheadBot,7,maps/8planets/map1.txt,2
java LookaheadBot,8,maps/8planets/map2.txt,2
java LookaheadBot,8,maps/8planets/map2.txt,1
java RandomBot,4,maps/8planets/map3.txt,3
java RandomBot,3,maps/8planets/map2.txt,4
java RandomBot,7,maps/8planets/map1.txt,2
java RandomBot,8,maps/8planets/map2.txt,1
java RandomBot,4,maps/8planets/map3.txt,4
java RandomBot,6,maps/8planets/map1.txt,2
