Opponent,Turns,Map,Avarage turn time
java BeamBot,69,maps/8planets/map3.txt,2
java BeamBot,68,maps/8planets/map2.txt,3
java BeamBot,69,maps/8planets/map2.txt,2
java BeamBot,69,maps/8planets/map1.txt,3
java BeamBot,68,maps/8planets/map1.txt,2
java BeamBot,68,maps/8planets/map3.txt,3
java GreedyBot,70,maps/8planets/map2.txt,2
java GreedyBot,70,maps/8planets/map2.txt,2
java GreedyBot,70,maps/8planets/map3.txt,2
java GreedyBot,70,maps/8planets/map1.txt,2
java GreedyBot,70,maps/8planets/map1.txt,2
java GreedyBot,70,maps/8planets/map3.txt,2
java MMBot,69,maps/8planets/map3.txt,3
java MMBot,69,maps/8planets/map3.txt,3
java MMBot,69,maps/8planets/map1.txt,2
java MMBot,69,maps/8planets/map1.txt,3
java MMBot,69,maps/8planets/map2.txt,2
java MMBot,69,maps/8planets/map2.txt,2
java SimpleAdaptiveBot,70,maps/8planets/map2.txt,2
java SimpleAdaptiveBot,70,maps/8planets/map2.txt,2
java SimpleAdaptiveBot,70,maps/8planets/map3.txt,2
java SimpleAdaptiveBot,70,maps/8planets/map3.txt,3
java SuperBullyBot,70,maps/8planets/map3.txt,2
java SuperBullyBot,70,maps/8planets/map2.txt,2
java SuperBullyBot,70,maps/8planets/map3.txt,2
java SuperBullyBot,70,maps/8planets/map1.txt,2
java SuperBullyBot,70,maps/8planets/map1.txt,3
java SuperBullyBot,70,maps/8planets/map2.txt,2
