Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,13,maps/8planets/map1.txt,20
java AdaptiveBot,9,maps/8planets/map3.txt,17
java AdaptiveBot,5,maps/8planets/map3.txt,16
java AdaptiveBot,10,maps/8planets/map2.txt,11
java AdaptiveBot,8,maps/8planets/map2.txt,14
java BullyBot,8,maps/8planets/map3.txt,20
java BullyBot,8,maps/8planets/map2.txt,14
java BullyBot,9,maps/8planets/map3.txt,27
java BullyBot,10,maps/8planets/map2.txt,15
java BullyBot,18,maps/8planets/map1.txt,27
java LookaheadBot,12,maps/8planets/map2.txt,11
java LookaheadBot,10,maps/8planets/map3.txt,15
java LookaheadBot,10,maps/8planets/map3.txt,16
java LookaheadBot,12,maps/8planets/map2.txt,12
java RandomBot,8,maps/8planets/map1.txt,16
java RandomBot,5,maps/8planets/map3.txt,16
java RandomBot,6,maps/8planets/map2.txt,12
java RandomBot,4,maps/8planets/map3.txt,12
java RandomBot,4,maps/8planets/map2.txt,23
java RandomBot,11,maps/8planets/map1.txt,25
