Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,14,maps/8planets/map2.txt,0
java AdaptiveBot,19,maps/8planets/map3.txt,0
java AdaptiveBot,11,maps/8planets/map3.txt,0
java AdaptiveBot,12,maps/8planets/map1.txt,0
java AdaptiveBot,6,maps/8planets/map1.txt,0
java AdaptiveBot,15,maps/8planets/map2.txt,0
java BeamBot,20,maps/8planets/map2.txt,0
java BeamBot,9,maps/8planets/map1.txt,0
java BeamBot,5,maps/8planets/map3.txt,0
java BeamBot,15,maps/8planets/map3.txt,0
java BeamBot,5,maps/8planets/map2.txt,0
java BeamBot,10,maps/8planets/map1.txt,0
java BullyBot,9,maps/8planets/map1.txt,0
java BullyBot,12,maps/8planets/map3.txt,0
java BullyBot,15,maps/8planets/map3.txt,0
java BullyBot,10,maps/8planets/map2.txt,0
java BullyBot,9,maps/8planets/map2.txt,0
java BullyBot,8,maps/8planets/map1.txt,0
java GreedyBot,4,maps/8planets/map3.txt,1
java GreedyBot,3,maps/8planets/map2.txt,1
java GreedyBot,7,maps/8planets/map1.txt,0
java GreedyBot,8,maps/8planets/map2.txt,0
java GreedyBot,4,maps/8planets/map3.txt,1
java GreedyBot,6,maps/8planets/map1.txt,1
java LookaheadBot,6,maps/8planets/map1.txt,0
java LookaheadBot,7,maps/8planets/map1.txt,0
java LookaheadBot,7,maps/8planets/map2.txt,0
java LookaheadBot,6,maps/8planets/map3.txt,0
java LookaheadBot,9,maps/8planets/map3.txt,1
java LookaheadBot,7,maps/8planets/map2.txt,0
java MMBot,8,maps/8planets/map1.txt,0
java MMBot,5,maps/8planets/map3.txt,1
java MMBot,6,maps/8planets/map2.txt,1
java MMBot,4,maps/8planets/map3.txt,1
java MMBot,4,maps/8planets/map2.txt,1
java MMBot,11,maps/8planets/map1.txt,0
java RandomBot,19,maps/8planets/map1.txt,0
java RandomBot,9,maps/8planets/map3.txt,0
java RandomBot,9,maps/8planets/map2.txt,0
java SimpleAdaptiveBot,6,maps/8planets/map3.txt,0
java SimpleAdaptiveBot,7,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,6,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,7,maps/8planets/map2.txt,0
java SimpleAdaptiveBot,3,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,6,maps/8planets/map3.txt,0
java SuperBullyBot,7,maps/8planets/map1.txt,0
java SuperBullyBot,4,maps/8planets/map1.txt,1
java SuperBullyBot,6,maps/8planets/map3.txt,0
java SuperBullyBot,7,maps/8planets/map3.txt,0
java SuperBullyBot,6,maps/8planets/map2.txt,0
java SuperBullyBot,4,maps/8planets/map2.txt,0
