Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,8,maps/8planets/map1.txt,0
java AdaptiveBot,8,maps/8planets/map3.txt,0
java AdaptiveBot,10,maps/8planets/map2.txt,0
java AdaptiveBot,10,maps/8planets/map2.txt,0
java AdaptiveBot,8,maps/8planets/map1.txt,0
java AdaptiveBot,7,maps/8planets/map3.txt,0
java BullyBot,8,maps/8planets/map1.txt,0
java BullyBot,10,maps/8planets/map2.txt,0
java BullyBot,8,maps/8planets/map3.txt,0
java BullyBot,10,maps/8planets/map2.txt,0
java BullyBot,8,maps/8planets/map1.txt,0
java BullyBot,8,maps/8planets/map3.txt,0
java LookaheadBot,7,maps/8planets/map1.txt,0
java LookaheadBot,9,maps/8planets/map2.txt,0
java LookaheadBot,8,maps/8planets/map3.txt,0
java LookaheadBot,9,maps/8planets/map2.txt,0
java LookaheadBot,8,maps/8planets/map3.txt,0
java LookaheadBot,7,maps/8planets/map1.txt,0
java RandomBot,7,maps/8planets/map1.txt,0
java RandomBot,4,maps/8planets/map1.txt,0
java RandomBot,6,maps/8planets/map3.txt,0
java RandomBot,7,maps/8planets/map3.txt,0
java RandomBot,6,maps/8planets/map2.txt,0
java RandomBot,4,maps/8planets/map2.txt,0
java SimpleAdaptiveBot,7,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,7,maps/8planets/map1.txt,0
