Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,29,maps/8planets/map2.txt,0
java AdaptiveBot,37,maps/8planets/map3.txt,0
java AdaptiveBot,25,maps/8planets/map1.txt,1
java BeamBot,55,maps/8planets/map2.txt,0
java BeamBot,32,maps/8planets/map1.txt,1
java BeamBot,56,maps/8planets/map2.txt,0
java BeamBot,59,maps/8planets/map1.txt,0
java BeamBot,24,maps/8planets/map3.txt,1
java BeamBot,25,maps/8planets/map3.txt,1
java BullyBot,19,maps/8planets/map1.txt,1
java BullyBot,26,maps/8planets/map1.txt,1
java BullyBot,22,maps/8planets/map3.txt,1
java BullyBot,29,maps/8planets/map2.txt,1
java GreedyBot,15,maps/8planets/map1.txt,1
java GreedyBot,12,maps/8planets/map2.txt,2
java GreedyBot,9,maps/8planets/map3.txt,3
java GreedyBot,11,maps/8planets/map2.txt,1
java GreedyBot,10,maps/8planets/map3.txt,3
java LookaheadBot,28,maps/8planets/map1.txt,1
java LookaheadBot,19,maps/8planets/map3.txt,1
java LookaheadBot,19,maps/8planets/map2.txt,1
java LookaheadBot,10,maps/8planets/map3.txt,2
java LookaheadBot,19,maps/8planets/map1.txt,1
java MMBot,12,maps/8planets/map2.txt,2
java MMBot,8,maps/8planets/map3.txt,3
java MMBot,11,maps/8planets/map2.txt,2
java MMBot,13,maps/8planets/map1.txt,2
java MMBot,9,maps/8planets/map3.txt,3
java MMBot,20,maps/8planets/map1.txt,1
java RandomBot,30,maps/8planets/map3.txt,1
java RandomBot,54,maps/8planets/map2.txt,0
java SimpleAdaptiveBot,9,maps/8planets/map3.txt,3
java SimpleAdaptiveBot,8,maps/8planets/map3.txt,3
java SimpleAdaptiveBot,17,maps/8planets/map1.txt,1
java SimpleAdaptiveBot,11,maps/8planets/map2.txt,2
java SimpleAdaptiveBot,12,maps/8planets/map2.txt,2
java SuperBullyBot,10,maps/8planets/map3.txt,3
java SuperBullyBot,11,maps/8planets/map3.txt,2
java SuperBullyBot,11,maps/8planets/map2.txt,2
java SuperBullyBot,12,maps/8planets/map2.txt,2
