Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,29,maps/8planets/map2.txt,1
java AdaptiveBot,37,maps/8planets/map3.txt,0
java AdaptiveBot,25,maps/8planets/map1.txt,1
java BullyBot,30,maps/8planets/map3.txt,1
java BullyBot,29,maps/8planets/map2.txt,1
java GreedyBot,13,maps/8planets/map1.txt,2
java LookaheadBot,23,maps/8planets/map2.txt,1
java RandomBot,38,maps/8planets/map3.txt,0
java RandomBot,14,maps/8planets/map1.txt,2
java RandomBot,20,maps/8planets/map2.txt,1
java RandomBot,17,maps/8planets/map1.txt,1
java SimpleAdaptiveBot,25,maps/8planets/map1.txt,1
java SuperBullyBot,20,maps/8planets/map1.txt,1
java SuperBullyBot,25,maps/8planets/map1.txt,1
