Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,55,maps/8planets/map2.txt,4
java AdaptiveBot,32,maps/8planets/map1.txt,3
java AdaptiveBot,56,maps/8planets/map2.txt,2
java AdaptiveBot,59,maps/8planets/map1.txt,2
java AdaptiveBot,24,maps/8planets/map3.txt,4
java AdaptiveBot,25,maps/8planets/map3.txt,8
java BeamBot,30,maps/8planets/map1.txt,6
java BullyBot,29,maps/8planets/map1.txt,2
java BullyBot,54,maps/8planets/map2.txt,2
java BullyBot,32,maps/8planets/map1.txt,4
java BullyBot,47,maps/8planets/map3.txt,5
java BullyBot,53,maps/8planets/map2.txt,4
java BullyBot,40,maps/8planets/map3.txt,3
java GreedyBot,44,maps/8planets/map1.txt,5
java LookaheadBot,32,maps/8planets/map1.txt,4
java LookaheadBot,23,maps/8planets/map1.txt,4
java LookaheadBot,40,maps/8planets/map2.txt,3
java LookaheadBot,33,maps/8planets/map3.txt,8
java LookaheadBot,32,maps/8planets/map3.txt,3
java LookaheadBot,37,maps/8planets/map2.txt,6
java RandomBot,25,maps/8planets/map3.txt,8
java RandomBot,19,maps/8planets/map2.txt,10
java RandomBot,23,maps/8planets/map1.txt,5
java RandomBot,12,maps/8planets/map1.txt,6
java RandomBot,26,maps/8planets/map2.txt,8
java RandomBot,24,maps/8planets/map3.txt,4
java SimpleAdaptiveBot,46,maps/8planets/map1.txt,3
java SimpleAdaptiveBot,39,maps/8planets/map1.txt,2
java SuperBullyBot,40,maps/8planets/map1.txt,3
java SuperBullyBot,41,maps/8planets/map1.txt,2
