Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,30,maps/8planets/map3.txt,0
java AdaptiveBot,29,maps/8planets/map2.txt,0
java BeamBot,29,maps/8planets/map1.txt,0
java BeamBot,54,maps/8planets/map2.txt,0
java BeamBot,32,maps/8planets/map1.txt,0
java BeamBot,47,maps/8planets/map3.txt,0
java BeamBot,53,maps/8planets/map2.txt,0
java BeamBot,40,maps/8planets/map3.txt,0
java BullyBot,23,maps/8planets/map3.txt,0
java BullyBot,29,maps/8planets/map2.txt,0
java BullyBot,21,maps/8planets/map1.txt,0
java GreedyBot,15,maps/8planets/map1.txt,0
java GreedyBot,11,maps/8planets/map2.txt,0
java GreedyBot,12,maps/8planets/map2.txt,0
java GreedyBot,12,maps/8planets/map3.txt,0
java GreedyBot,13,maps/8planets/map3.txt,0
java LookaheadBot,12,maps/8planets/map3.txt,0
java LookaheadBot,29,maps/8planets/map3.txt,0
java LookaheadBot,26,maps/8planets/map1.txt,0
java LookaheadBot,23,maps/8planets/map1.txt,0
java LookaheadBot,19,maps/8planets/map2.txt,0
java MMBot,12,maps/8planets/map3.txt,0
java MMBot,12,maps/8planets/map2.txt,0
java MMBot,20,maps/8planets/map1.txt,0
java MMBot,13,maps/8planets/map3.txt,0
java MMBot,11,maps/8planets/map2.txt,0
java MMBot,15,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,19,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,12,maps/8planets/map3.txt,0
java SimpleAdaptiveBot,11,maps/8planets/map2.txt,0
java SimpleAdaptiveBot,13,maps/8planets/map3.txt,0
java SimpleAdaptiveBot,12,maps/8planets/map2.txt,0
java SuperBullyBot,12,maps/8planets/map3.txt,0
java SuperBullyBot,12,maps/8planets/map2.txt,0
java SuperBullyBot,13,maps/8planets/map3.txt,0
java SuperBullyBot,11,maps/8planets/map2.txt,0
