Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,19,maps/8planets/map1.txt,0
java AdaptiveBot,26,maps/8planets/map1.txt,0
java AdaptiveBot,22,maps/8planets/map3.txt,0
java AdaptiveBot,29,maps/8planets/map2.txt,0
java BullyBot,23,maps/8planets/map3.txt,0
java BullyBot,29,maps/8planets/map2.txt,0
java BullyBot,21,maps/8planets/map1.txt,0
java GreedyBot,13,maps/8planets/map1.txt,0
java LookaheadBot,23,maps/8planets/map2.txt,0
java RandomBot,32,maps/8planets/map3.txt,0
java RandomBot,17,maps/8planets/map3.txt,0
java RandomBot,16,maps/8planets/map1.txt,0
java RandomBot,11,maps/8planets/map2.txt,0
java RandomBot,10,maps/8planets/map2.txt,0
java RandomBot,15,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,25,maps/8planets/map1.txt,0
java SuperBullyBot,20,maps/8planets/map1.txt,0
java SuperBullyBot,25,maps/8planets/map1.txt,0
