Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,15,maps/8planets/map1.txt,2
java AdaptiveBot,12,maps/8planets/map2.txt,2
java AdaptiveBot,9,maps/8planets/map3.txt,2
java AdaptiveBot,11,maps/8planets/map2.txt,2
java AdaptiveBot,10,maps/8planets/map3.txt,3
java BeamBot,18,maps/8planets/map1.txt,1
java BullyBot,15,maps/8planets/map1.txt,2
java BullyBot,11,maps/8planets/map2.txt,2
java BullyBot,12,maps/8planets/map2.txt,2
java BullyBot,12,maps/8planets/map3.txt,2
java BullyBot,13,maps/8planets/map3.txt,2
java GreedyBot,13,maps/8planets/map1.txt,2
java LookaheadBot,14,maps/8planets/map2.txt,1
java LookaheadBot,12,maps/8planets/map3.txt,2
java LookaheadBot,15,maps/8planets/map1.txt,1
java LookaheadBot,11,maps/8planets/map2.txt,2
java LookaheadBot,11,maps/8planets/map3.txt,2
java RandomBot,8,maps/8planets/map3.txt,3
java RandomBot,8,maps/8planets/map2.txt,2
java RandomBot,20,maps/8planets/map1.txt,1
java RandomBot,7,maps/8planets/map3.txt,2
java RandomBot,7,maps/8planets/map2.txt,3
java RandomBot,9,maps/8planets/map1.txt,3
java SimpleAdaptiveBot,11,maps/8planets/map1.txt,2
java SuperBullyBot,10,maps/8planets/map1.txt,2
java SuperBullyBot,11,maps/8planets/map1.txt,2
