Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,23,maps/8planets/map2.txt,1
java BeamBot,32,maps/8planets/map1.txt,1
java BeamBot,23,maps/8planets/map1.txt,1
java BeamBot,40,maps/8planets/map2.txt,1
java BeamBot,33,maps/8planets/map3.txt,1
java BeamBot,32,maps/8planets/map3.txt,1
java BeamBot,37,maps/8planets/map2.txt,1
java BullyBot,23,maps/8planets/map2.txt,1
java GreedyBot,14,maps/8planets/map2.txt,1
java GreedyBot,12,maps/8planets/map3.txt,1
java GreedyBot,15,maps/8planets/map1.txt,1
java GreedyBot,11,maps/8planets/map2.txt,1
java GreedyBot,11,maps/8planets/map3.txt,1
java LookaheadBot,20,maps/8planets/map2.txt,1
java LookaheadBot,14,maps/8planets/map3.txt,1
java LookaheadBot,17,maps/8planets/map1.txt,1
java MMBot,14,maps/8planets/map3.txt,1
java MMBot,11,maps/8planets/map3.txt,1
java MMBot,11,maps/8planets/map2.txt,1
java MMBot,16,maps/8planets/map1.txt,1
java MMBot,15,maps/8planets/map1.txt,1
java MMBot,14,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,15,maps/8planets/map1.txt,1
java SimpleAdaptiveBot,13,maps/8planets/map3.txt,1
java SimpleAdaptiveBot,16,maps/8planets/map3.txt,1
java SimpleAdaptiveBot,12,maps/8planets/map1.txt,1
java SimpleAdaptiveBot,14,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,11,maps/8planets/map2.txt,1
java SuperBullyBot,12,maps/8planets/map1.txt,1
java SuperBullyBot,14,maps/8planets/map2.txt,1
java SuperBullyBot,14,maps/8planets/map3.txt,1
java SuperBullyBot,11,maps/8planets/map3.txt,1
java SuperBullyBot,11,maps/8planets/map2.txt,1
