Opponent,Turns,Map,Avarage turn time
java BeamBot,114,maps/8planets/map1.txt,9
java BeamBot,109,maps/8planets/map2.txt,3
java BeamBot,109,maps/8planets/map3.txt,3
java BeamBot,109,maps/8planets/map2.txt,2
java BeamBot,109,maps/8planets/map3.txt,3
java GreedyBot,112,maps/8planets/map2.txt,3
java GreedyBot,113,maps/8planets/map2.txt,3
java GreedyBot,112,maps/8planets/map3.txt,3
java GreedyBot,112,maps/8planets/map3.txt,3
java MMBot,112,maps/8planets/map2.txt,3
java MMBot,112,maps/8planets/map2.txt,3
java MMBot,109,maps/8planets/map3.txt,3
java MMBot,109,maps/8planets/map3.txt,3
java SimpleAdaptiveBot,112,maps/8planets/map2.txt,3
java SimpleAdaptiveBot,109,maps/8planets/map2.txt,4
java SimpleAdaptiveBot,111,maps/8planets/map3.txt,3
java SimpleAdaptiveBot,112,maps/8planets/map3.txt,3
java SuperBullyBot,112,maps/8planets/map2.txt,3
java SuperBullyBot,112,maps/8planets/map3.txt,3
java SuperBullyBot,112,maps/8planets/map3.txt,4
java SuperBullyBot,113,maps/8planets/map2.txt,3
