Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,12,maps/8planets/map2.txt,12
java AdaptiveBot,8,maps/8planets/map3.txt,21
java AdaptiveBot,11,maps/8planets/map2.txt,11
java AdaptiveBot,13,maps/8planets/map1.txt,22
java AdaptiveBot,9,maps/8planets/map3.txt,16
java AdaptiveBot,20,maps/8planets/map1.txt,25
java BeamBot,30,maps/8planets/map1.txt,27
java BullyBot,12,maps/8planets/map3.txt,23
java BullyBot,12,maps/8planets/map2.txt,14
java BullyBot,20,maps/8planets/map1.txt,24
java BullyBot,13,maps/8planets/map3.txt,14
java BullyBot,11,maps/8planets/map2.txt,11
java BullyBot,15,maps/8planets/map1.txt,20
java GreedyBot,13,maps/8planets/map1.txt,16
java GreedyBot,18,maps/8planets/map1.txt,20
java LookaheadBot,14,maps/8planets/map3.txt,13
java LookaheadBot,11,maps/8planets/map3.txt,15
java LookaheadBot,11,maps/8planets/map2.txt,13
java LookaheadBot,16,maps/8planets/map1.txt,22
java LookaheadBot,15,maps/8planets/map1.txt,20
java LookaheadBot,14,maps/8planets/map2.txt,11
java MMBot,16,maps/8planets/map1.txt,21
java RandomBot,11,maps/8planets/map1.txt,20
java RandomBot,8,maps/8planets/map2.txt,21
java RandomBot,6,maps/8planets/map3.txt,19
java RandomBot,9,maps/8planets/map3.txt,17
java RandomBot,9,maps/8planets/map2.txt,14
java RandomBot,8,maps/8planets/map1.txt,29
java SimpleAdaptiveBot,14,maps/8planets/map1.txt,25
java SimpleAdaptiveBot,11,maps/8planets/map1.txt,19
java SuperBullyBot,11,maps/8planets/map1.txt,20
java SuperBullyBot,10,maps/8planets/map1.txt,17
