Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,38,maps/8planets/map3.txt,0
java AdaptiveBot,14,maps/8planets/map1.txt,1
java AdaptiveBot,20,maps/8planets/map2.txt,0
java AdaptiveBot,17,maps/8planets/map1.txt,0
java BeamBot,25,maps/8planets/map3.txt,0
java BeamBot,19,maps/8planets/map2.txt,0
java BeamBot,23,maps/8planets/map1.txt,0
java BeamBot,12,maps/8planets/map1.txt,0
java BeamBot,26,maps/8planets/map2.txt,0
java BeamBot,24,maps/8planets/map3.txt,0
java BullyBot,32,maps/8planets/map3.txt,0
java BullyBot,17,maps/8planets/map3.txt,0
java BullyBot,16,maps/8planets/map1.txt,0
java BullyBot,11,maps/8planets/map2.txt,0
java BullyBot,10,maps/8planets/map2.txt,0
java BullyBot,15,maps/8planets/map1.txt,0
java GreedyBot,8,maps/8planets/map3.txt,1
java GreedyBot,8,maps/8planets/map2.txt,0
java GreedyBot,20,maps/8planets/map1.txt,0
java GreedyBot,7,maps/8planets/map3.txt,1
java GreedyBot,7,maps/8planets/map2.txt,1
java GreedyBot,9,maps/8planets/map1.txt,1
java LookaheadBot,8,maps/8planets/map1.txt,1
java LookaheadBot,9,maps/8planets/map1.txt,1
java LookaheadBot,8,maps/8planets/map2.txt,1
java LookaheadBot,7,maps/8planets/map3.txt,1
java LookaheadBot,8,maps/8planets/map3.txt,1
java LookaheadBot,11,maps/8planets/map2.txt,0
java MMBot,11,maps/8planets/map1.txt,0
java MMBot,8,maps/8planets/map2.txt,1
java MMBot,6,maps/8planets/map3.txt,1
java MMBot,9,maps/8planets/map3.txt,1
java MMBot,9,maps/8planets/map2.txt,0
java MMBot,8,maps/8planets/map1.txt,0
java RandomBot,60,maps/8planets/map2.txt,0
java RandomBot,45,maps/8planets/map3.txt,0
java RandomBot,27,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,11,maps/8planets/map3.txt,0
java SimpleAdaptiveBot,16,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,8,maps/8planets/map2.txt,0
java SimpleAdaptiveBot,15,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,8,maps/8planets/map3.txt,1
java SimpleAdaptiveBot,7,maps/8planets/map2.txt,1
java SuperBullyBot,7,maps/8planets/map1.txt,1
java SuperBullyBot,8,maps/8planets/map1.txt,0
java SuperBullyBot,8,maps/8planets/map2.txt,1
java SuperBullyBot,7,maps/8planets/map2.txt,1
java SuperBullyBot,6,maps/8planets/map3.txt,1
java SuperBullyBot,7,maps/8planets/map3.txt,1
