Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,9,maps/8planets/map3.txt,1
java AdaptiveBot,8,maps/8planets/map3.txt,1
java AdaptiveBot,17,maps/8planets/map1.txt,1
java AdaptiveBot,11,maps/8planets/map2.txt,0
java AdaptiveBot,12,maps/8planets/map2.txt,0
java BullyBot,19,maps/8planets/map1.txt,1
java BullyBot,12,maps/8planets/map3.txt,1
java BullyBot,11,maps/8planets/map2.txt,1
java BullyBot,13,maps/8planets/map3.txt,0
java BullyBot,12,maps/8planets/map2.txt,0
java GreedyBot,11,maps/8planets/map1.txt,1
java LookaheadBot,15,maps/8planets/map1.txt,1
java LookaheadBot,13,maps/8planets/map3.txt,1
java LookaheadBot,16,maps/8planets/map3.txt,1
java LookaheadBot,12,maps/8planets/map1.txt,0
java LookaheadBot,14,maps/8planets/map2.txt,0
java LookaheadBot,11,maps/8planets/map2.txt,0
java RandomBot,11,maps/8planets/map3.txt,1
java RandomBot,16,maps/8planets/map1.txt,1
java RandomBot,8,maps/8planets/map2.txt,1
java RandomBot,15,maps/8planets/map1.txt,1
java RandomBot,8,maps/8planets/map3.txt,2
java RandomBot,7,maps/8planets/map2.txt,1
java SimpleAdaptiveBot,11,maps/8planets/map1.txt,1
java SuperBullyBot,10,maps/8planets/map1.txt,1
java SuperBullyBot,11,maps/8planets/map1.txt,1
