Opponent,Turns,Map,Avarage turn time
java GreedyBot1,29,maps/8planets/map3.txt,1
java GreedyBot1,27,maps/8planets/map1.txt,1
java GreedyBot1,27,maps/8planets/map2.txt,1
java GreedyBot1,16,maps/8planets/map1.txt,2
java GreedyBot1,14,maps/8planets/map2.txt,1
java GreedyBot1,12,maps/8planets/map3.txt,1
java GreedyBot2,12,maps/8planets/map3.txt,2
java GreedyBot2,12,maps/8planets/map1.txt,2
java GreedyBot2,12,maps/8planets/map2.txt,2
java GreedyBot2,27,maps/8planets/map1.txt,1
java GreedyBot2,17,maps/8planets/map2.txt,2
java GreedyBot3,16,maps/8planets/map1.txt,1
java GreedyBot3,12,maps/8planets/map2.txt,1
java GreedyBot3,12,maps/8planets/map3.txt,2
java GreedyBot3,27,maps/8planets/map1.txt,1
java GreedyBot3,29,maps/8planets/map3.txt,1
java GreedyBot3,17,maps/8planets/map2.txt,2
java GreedyBot4,9,maps/8planets/map2.txt,2
java GreedyBot4,13,maps/8planets/map3.txt,2
java GreedyBot4,10,maps/8planets/map2.txt,2
java GreedyBot4,10,maps/8planets/map1.txt,2
java GreedyBot4,11,maps/8planets/map1.txt,2
java GreedyBot6,11,maps/8planets/map1.txt,2
java GreedyBot6,13,maps/8planets/map3.txt,2
java GreedyBot6,10,maps/8planets/map1.txt,2
java GreedyBot7,16,maps/8planets/map1.txt,2
java GreedyBot7,16,maps/8planets/map2.txt,1
java GreedyBot7,16,maps/8planets/map3.txt,1
java GreedyBot8,14,maps/8planets/map3.txt,1
java GreedyBot8,12,maps/8planets/map2.txt,2
java GreedyBot8,12,maps/8planets/map1.txt,2
java GreedyBot9,12,maps/8planets/map1.txt,2
java GreedyBot9,12,maps/8planets/map2.txt,2
java GreedyBot9,12,maps/8planets/map3.txt,2
java GreedyBot12,14,maps/8planets/map3.txt,2
java GreedyBot12,27,maps/8planets/map2.txt,1
java GreedyBot12,16,maps/8planets/map2.txt,1
java GreedyBot12,25,maps/8planets/map1.txt,1
java GreedyBot12,16,maps/8planets/map1.txt,1
java GreedyBot12,41,maps/8planets/map3.txt,0
java GreedyBot13,41,maps/8planets/map3.txt,1
java GreedyBot13,27,maps/8planets/map2.txt,1
java GreedyBot13,27,maps/8planets/map1.txt,1
java GreedyBot13,16,maps/8planets/map2.txt,1
java GreedyBot13,14,maps/8planets/map3.txt,2
java GreedyBot13,16,maps/8planets/map1.txt,1
java GreedyBot14,10,maps/8planets/map1.txt,2
java GreedyBot14,13,maps/8planets/map3.txt,1
java GreedyBot14,11,maps/8planets/map1.txt,1
java GreedyBot15,10,maps/8planets/map1.txt,2
java GreedyBot15,13,maps/8planets/map3.txt,2
java GreedyBot15,11,maps/8planets/map1.txt,1
