Opponent,Turns,Map,Avarage turn time
java AdaptiveBot,30,maps/8planets/map3.txt,0
java AdaptiveBot,29,maps/8planets/map2.txt,0
java AdaptiveBot,23,maps/8planets/map3.txt,0
java LookaheadBot,12,maps/8planets/map3.txt,0
java LookaheadBot,33,maps/8planets/map1.txt,0
java LookaheadBot,29,maps/8planets/map3.txt,0
java LookaheadBot,22,maps/8planets/map1.txt,0
java LookaheadBot,19,maps/8planets/map2.txt,0
java SuperBullyBot,11,maps/8planets/map2.txt,0
java SuperBullyBot,12,maps/8planets/map3.txt,0
java SuperBullyBot,11,maps/8planets/map1.txt,0
java SuperBullyBot,12,maps/8planets/map1.txt,0
java SuperBullyBot,12,maps/8planets/map2.txt,0
java SuperBullyBot,13,maps/8planets/map3.txt,0
java GreedyBot,19,maps/8planets/map1.txt,0
java GreedyBot,12,maps/8planets/map2.txt,0
java GreedyBot,29,maps/8planets/map2.txt,0
java GreedyBot,12,maps/8planets/map3.txt,0
java GreedyBot,12,maps/8planets/map1.txt,0
java GreedyBot,21,maps/8planets/map3.txt,0
java MMBot,38,maps/8planets/map3.txt,0
java MMBot,36,maps/8planets/map2.txt,0
java MMBot,35,maps/8planets/map2.txt,0
java MMBot,26,maps/8planets/map1.txt,0
java MMBot,35,maps/8planets/map3.txt,0
java SimpleAdaptiveBot,11,maps/8planets/map1.txt,0
java SimpleAdaptiveBot,12,maps/8planets/map3.txt,0
java SimpleAdaptiveBot,11,maps/8planets/map2.txt,0
java SimpleAdaptiveBot,13,maps/8planets/map3.txt,0
java SimpleAdaptiveBot,12,maps/8planets/map2.txt,0
java SimpleAdaptiveBot,12,maps/8planets/map1.txt,0
