Opponent,Turns,Map,Avarage turn time
java RandomBot,52,maps/8planets/map3.txt,0
java RandomBot,18,maps/8planets/map1.txt,0
java RandomBot,17,maps/8planets/map2.txt,0
java RandomBot,20,maps/8planets/map2.txt,0
java RandomBot,19,maps/8planets/map3.txt,0
java RandomBot,23,maps/8planets/map1.txt,0
java BullyBot,23,maps/8planets/map3.txt,0
java BullyBot,29,maps/8planets/map2.txt,0
java BullyBot,21,maps/8planets/map1.txt,0
java AdaptiveBot,23,maps/8planets/map1.txt,0
java AdaptiveBot,29,maps/8planets/map2.txt,0
java LookaheadBot,23,maps/8planets/map2.txt,0
