Opponent,Turns,Map,Avarage turn time
java RandomBot,10,maps/8planets/map3.txt,2
java RandomBot,15,maps/8planets/map3.txt,1
java RandomBot,17,maps/8planets/map2.txt,2
java RandomBot,10,maps/8planets/map2.txt,2
java RandomBot,15,maps/8planets/map1.txt,2
java RandomBot,10,maps/8planets/map1.txt,2
java BullyBot,19,maps/8planets/map1.txt,1
java BullyBot,12,maps/8planets/map2.txt,1
java BullyBot,29,maps/8planets/map2.txt,1
java BullyBot,12,maps/8planets/map3.txt,2
java BullyBot,12,maps/8planets/map1.txt,2
java BullyBot,21,maps/8planets/map3.txt,1
java AdaptiveBot,17,maps/8planets/map3.txt,2
java AdaptiveBot,15,maps/8planets/map1.txt,2
java AdaptiveBot,12,maps/8planets/map2.txt,1
java AdaptiveBot,29,maps/8planets/map2.txt,1
java AdaptiveBot,12,maps/8planets/map3.txt,2
java AdaptiveBot,12,maps/8planets/map1.txt,2
java LookaheadBot,14,maps/8planets/map2.txt,1
java LookaheadBot,12,maps/8planets/map1.txt,2
java LookaheadBot,12,maps/8planets/map3.txt,2
