Opponent,Turns,Map,Avarage turn time
java BullyBot,100,maps/8planets/map1.txt,3
java SuperBullyBot,100,maps/8planets/map2.txt,4
java SuperBullyBot,100,maps/8planets/map2.txt,3
java SuperBullyBot,100,maps/8planets/map1.txt,4
java SuperBullyBot,100,maps/8planets/map3.txt,4
java SuperBullyBot,100,maps/8planets/map3.txt,4
java SuperBullyBot,100,maps/8planets/map1.txt,3
java MMBot,100,maps/8planets/map3.txt,3
java MMBot,100,maps/8planets/map1.txt,3
java MMBot,100,maps/8planets/map2.txt,3
java SimpleAdaptiveBot,100,maps/8planets/map1.txt,3
java SimpleAdaptiveBot,100,maps/8planets/map2.txt,3
java SimpleAdaptiveBot,100,maps/8planets/map3.txt,3
java SimpleAdaptiveBot,100,maps/8planets/map3.txt,3
java SimpleAdaptiveBot,100,maps/8planets/map1.txt,3
java SimpleAdaptiveBot,100,maps/8planets/map2.txt,3
