opponent;Turns;Map;Avarage turn time
java AdaptiveBot;26;maps/8planets/map3.txt;535
java LookaheadBot;10;maps/8planets/map3.txt;633
java LookaheadBot;10;maps/8planets/map1.txt;606
java SuperBullyBot;10;maps/8planets/map1.txt;644
java SuperBullyBot;10;maps/8planets/map3.txt;569
java SuperBullyBot;13;maps/8planets/map3.txt;391
java GreedyBot;10;maps/8planets/map1.txt;609
java GreedyBot;10;maps/8planets/map3.txt;628
java MMBot;34;maps/8planets/map3.txt;319
java MMBot;30;maps/8planets/map1.txt;322
java MMBot;64;maps/8planets/map2.txt;96
java SimpleAdaptiveBot;13;maps/8planets/map3.txt;380
java SimpleAdaptiveBot;12;maps/8planets/map3.txt;555
java SimpleAdaptiveBot;10;maps/8planets/map1.txt;606
