opponent;Turns;Map;Avarage turn time
java RandomBot;30;maps/8planets/map2.txt;0
java RandomBot;30;maps/8planets/map3.txt;0
java RandomBot;56;maps/8planets/map1.txt;0
java BullyBot;16;maps/8planets/map3.txt;0
java BullyBot;20;maps/8planets/map1.txt;0
java BullyBot;17;maps/8planets/map2.txt;0
java BullyBot;24;maps/8planets/map2.txt;0
java BullyBot;17;maps/8planets/map3.txt;0
java BullyBot;17;maps/8planets/map1.txt;0
java AdaptiveBot;27;maps/8planets/map2.txt;0
java AdaptiveBot;18;maps/8planets/map1.txt;0
java AdaptiveBot;18;maps/8planets/map2.txt;0
java AdaptiveBot;23;maps/8planets/map1.txt;0
java AdaptiveBot;13;maps/8planets/map3.txt;0
java LookaheadBot;8;maps/8planets/map1.txt;0
java LookaheadBot;9;maps/8planets/map1.txt;0
java LookaheadBot;8;maps/8planets/map2.txt;0
java LookaheadBot;17;maps/8planets/map3.txt;0
java LookaheadBot;12;maps/8planets/map3.txt;0
java LookaheadBot;13;maps/8planets/map2.txt;0
java SuperBullyBot;7;maps/8planets/map1.txt;1
java SuperBullyBot;6;maps/8planets/map1.txt;1
java SuperBullyBot;8;maps/8planets/map2.txt;0
java SuperBullyBot;7;maps/8planets/map2.txt;1
java SuperBullyBot;8;maps/8planets/map3.txt;1
java SuperBullyBot;9;maps/8planets/map3.txt;0
java GreedyBot;10;maps/8planets/map3.txt;0
java GreedyBot;15;maps/8planets/map3.txt;0
java GreedyBot;13;maps/8planets/map2.txt;0
java GreedyBot;10;maps/8planets/map2.txt;0
java GreedyBot;13;maps/8planets/map1.txt;0
java GreedyBot;8;maps/8planets/map1.txt;0
java MMBot;25;maps/8planets/map3.txt;0
java MMBot;15;maps/8planets/map1.txt;0
java MMBot;28;maps/8planets/map2.txt;0
java MMBot;19;maps/8planets/map2.txt;0
java MMBot;28;maps/8planets/map3.txt;0
java MMBot;8;maps/8planets/map1.txt;1
java SimpleAdaptiveBot;7;maps/8planets/map3.txt;1
java SimpleAdaptiveBot;8;maps/8planets/map1.txt;0
java SimpleAdaptiveBot;8;maps/8planets/map2.txt;1
java SimpleAdaptiveBot;7;maps/8planets/map1.txt;1
java SimpleAdaptiveBot;7;maps/8planets/map2.txt;0
java SimpleAdaptiveBot;8;maps/8planets/map3.txt;1
